docked,15/11/11,00:21:52
undocked,15/11/11,00:21:56
docked,15/11/11,00:24:16
undocked,15/11/11,00:24:27
docked,19/12/11,14:37:19
docked,19/12/11,14:37:49
,19/12/11,14:38:35
,19/12/11,14:38:40
,19/12/11,14:38:42
,19/12/11,14:38:43
docked,19/12/11,14:54:08
docked,19/12/11,14:54:16
docked,19/12/11,16:41:32
docked,19/12/11,16:41:42
docked,23/12/11,01:42:57
docked,23/12/11,01:43:00
docked,23/12/11,01:43:07
docked,24/12/11,12:00:10
docked,25/12/11,08:48:55
docked,25/12/11,08:49:03
docked,25/12/11,08:54:08
docked,25/12/11,09:04:58
undocked,25/12/11,09:05:06
clone,25/12/11,09:05:12
docked,25/12/11,09:05:29
clone,25/12/11,09:14:21
docked,08/01/12,11:20:01
undocked,09/01/12,09:16:53
docked,09/01/12,09:17:00
docked,09/01/12,09:22:47
undocked,09/01/12,09:22:53
docked,09/01/12,09:22:57
docked,09/01/12,13:54:40
undocked,09/01/12,13:54:51
docked,09/01/12,13:55:44
docked,09/01/12,13:57:46
undocked,09/01/12,13:57:59
docked,09/01/12,13:58:23
undocked,09/01/12,13:58:35
undocked,09/01/12,13:59:02
docked,09/01/12,13:59:05
undocked,09/01/12,13:59:09
docked,09/01/12,13:59:40
undocked,09/01/12,14:00:59
docked,09/01/12,14:01:02
undocked,09/01/12,14:01:18
docked,09/01/12,14:01:26
undocked,09/01/12,14:01:39
docked,09/01/12,14:01:54
undocked,09/01/12,19:57:29
docked,09/01/12,19:57:42
undocked,09/01/12,19:57:50
docked,10/01/12,09:25:48
undocked,10/01/12,09:35:12
docked,10/01/12,09:40:18
undocked,10/01/12,19:21:16
docked,11/01/12,09:29:20
undocked,11/01/12,14:33:32
undocked,11/01/12,14:33:53
docked,11/01/12,14:34:33
undocked,11/01/12,18:28:38
docked,12/01/12,09:54:58
undocked,12/01/12,20:11:41
docked,15/01/12,09:33:39
undocked,15/01/12,09:42:52
docked,15/01/12,09:50:22
undocked,15/01/12,10:52:19
docked,15/01/12,11:15:14
undocked,15/01/12,18:28:48
docked,17/01/12,09:26:11
undocked,17/01/12,19:33:18
docked,18/01/12,09:31:11
undocked,18/01/12,18:30:26
docked,19/01/12,09:44:36
undocked,19/01/12,20:12:38
docked,22/01/12,09:19:26
undocked,22/01/12,20:29:47
docked,23/01/12,10:05:00
undocked,23/01/12,20:14:10
docked,24/01/12,09:47:15
undocked,24/01/12,20:24:35
docked,25/01/12,09:38:48
undocked,25/01/12,10:51:37
docked,25/01/12,10:51:41
undocked,25/01/12,14:37:46
docked,26/01/12,10:23:14
undocked,26/01/12,17:57:36
docked,29/01/12,10:23:27
undocked,29/01/12,10:23:45
docked,29/01/12,10:23:52
undocked,29/01/12,10:24:28
undocked,29/01/12,10:31:56
docked,29/01/12,10:33:59
undocked,29/01/12,18:28:48
docked,30/01/12,12:55:15
undocked,30/01/12,13:03:39
docked,30/01/12,13:03:42
docked,30/01/12,13:03:48
undocked,30/01/12,17:06:51
docked,31/01/12,10:02:01
undocked,31/01/12,10:07:24
docked,31/01/12,10:07:27
undocked,31/01/12,20:21:26
docked,01/02/12,09:47:07
undocked,01/02/12,18:32:54
docked,02/02/12,09:30:47
undocked,02/02/12,19:22:08
docked,05/02/12,13:25:47
undocked,05/02/12,15:34:58
docked,05/02/12,15:35:02
undocked,05/02/12,18:26:54
docked,06/02/12,09:32:14
undocked,06/02/12,14:53:29
docked,07/02/12,09:42:10
undocked,07/02/12,18:06:14
docked,08/02/12,09:26:34
undocked,08/02/12,10:32:17
docked,08/02/12,10:50:33
undocked,08/02/12,23:36:43
docked,09/02/12,12:24:48
undocked,09/02/12,12:24:52
home,09/02/12,12:30:43
dont know what to with argument home
undocked,09/02/12,12:33:23
undocked,09/02/12,12:51:20
undocked,09/02/12,12:51:32
home,09/02/12,12:51:34
Profile has been set to undocked, 09/02/12,12:54:58
Profile has been set to home, 09/02/12,12:55:06
Profile has been set to docked, 12/02/12,10:21:42
Could not set profile to undocked, 12/02/12,10:21:52
Profile has been set to undocked, 12/02/12,10:22:12
Profile has been set to docked, 12/02/12,10:22:18
Profile has been set to undocked, 12/02/12,18:03:43
Profile has been set to docked, 13/02/12,11:48:38
Profile has been set to undocked, 13/02/12,21:14:27
Profile has been set to docked, 14/02/12,09:56:36
Profile has been set to undocked, 14/02/12,19:37:02
Profile has been set to docked, 15/02/12,10:28:29
Profile has been set to undocked, 15/02/12,18:26:57
Profile has been set to home, 15/02/12,22:00:23
Profile has been set to docked, 16/02/12,10:08:26
Could not set profile to undocked, 16/02/12,10:08:47
Profile has been set to undocked, 16/02/12,10:09:16
Profile has been set to docked, 16/02/12,10:09:19
Profile has been set to undocked, 16/02/12,13:11:50
Profile has been set to docked, 16/02/12,14:41:12
Profile has been set to undocked, 16/02/12,16:11:18
Could not set profile to docked, 16/02/12,16:26:18
Profile has been set to docked, 16/02/12,16:26:34
